id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url
prod_SM0js0cH9Ktgq7,HealthSec AI Compliance Core,service,5/21/2025 19:54,HIPAA & HITRUST compliance accelerator with CIC visibility,,,
prod_SM0jTxk9gihGDs,OrbitalSec Satellite Shield,service,5/21/2025 19:53,AI-powered defense and anomaly monitoring for satellite systems,,,
prod_SM0Yww1aGmAA8y,CyberForce+ Partner Access License,service,5/21/2025 19:42,Enables partners to white-label Dynasec solutions via API,,,
prod_SM0YhcuZJ6hbvf,CIC Application Tracker Pro,service,5/21/2025 19:42,Live application tracking engine w/ ATS sync,,,
prod_SM0XzysHDfIog1,AI Contract Proposal Writer (Gov/Fed),service,5/21/2025 19:42,Auto-generates DoD/Fed proposal drafts,,,
prod_SM0XGB6ZT9gicy,ZeroDay Exploit Risk Shield,service,5/21/2025 19:41,Preemptive detection suite for zero-day exposure,,,
prod_SM0XNBnJD2zvq5,Cloud Risk Recon Report,service,5/21/2025 19:41,AI scan & assess vulnerabilities across public cloud assets,,,
prod_SM0WGvGr5jAqip,CommandSim™ Cyber War Lab,service,5/21/2025 19:41,Real-world training sim for Red/Blue/Purple team drills,,,
prod_SM0WixoWbYFr6b,CyberNexus Incident Core,service,5/21/2025 19:40,AI-powered IR (Incident Response) toolkit,,,
prod_SM0VHy9LG7jQtB,AI Clearance Accelerator,service,5/21/2025 19:40,"Tools to boost, validate, and package security clearance readiness",,,
prod_SM0VCU4yLgubGU,VaultMesh IP Vault Elite,service,5/21/2025 19:39,High-security IP vault w/ smart access controls,,,
prod_SM0VAr4xQlcBX0,RMF ZeroTrust Bundle,service,5/21/2025 19:39,Unified RMF + Zero Trust compliance automation suite,,,
prod_SLzyPOq4lI3Z2N,Tactical Ping Alert Engine,service,5/21/2025 19:06,Real-time CIC alerts for system events and job status updates,,,
prod_SLzyOD4QwwjVLa,SecureCloud FedGov LaunchPack,service,5/21/2025 19:06,Federal cloud compliance & onboarding bundle,,,
prod_SLzxleX6979lmi,FedRamp TurboTrack AI,service,5/21/2025 19:06,Fast-track FedRAMP authorization & automation kit,,,
prod_SLzx9sGAUxgOiO,Clearance Resume Generator,service,5/21/2025 19:05,TS/SCI-optimized resume and career toolkit,,,
prod_SLzw2vomCd0YM5,AI Job Submission Engine,service,5/21/2025 19:05,Auto-apply to high-clearance cybersecurity jobs,,,
prod_SLzwnYULKhcFLY,CMMC Sentinel Watchtower,service,5/21/2025 19:04,CMMC 2.0 readiness suite with real-time gap analysis,,,
prod_SLzva9SBJEJNOx,RMF Compliance Commander™,service,5/21/2025 19:04,Complete RMF artifact suite for federal compliance,,,
prod_SLzvO0aW8aUxqU,eMASS AuthoritySync™,service,5/21/2025 19:03,Auto-sync security controls and POA&Ms with DoD eMASS,,,
prod_SLzulguiPP62ic,BlueTeam SOC Overwatch,service,5/21/2025 19:03,24/7 AI-driven network defense and anomaly detection,,,
prod_SLzuUvrFnKmGCk,RedCell PenTest AI Ops,service,5/21/2025 19:02,Automated penetration testing and threat simulation toolkit,,,
prod_SLyz74VPlCSQ9p,HealthSec Compliance Core,service,5/21/2025 18:05,"HIPAA, HITECH, and CMMC compliance bundle with AI-powered risk detection, PHI monitors, and policy tracker automation.",,,
prod_SLyzUr7UWySHP5,Zero Trust Security Audit,service,5/21/2025 18:05,Comprehensive audit package using zero-trust methodology and NIST 800-53 AI alignment for DoD or contractor environments.,,,
prod_SLyycD3sNzbku9,VaultMesh Patent Draft Pack,service,5/21/2025 18:04,"Create and store detailed patent drafts with CIC-verifiable VaultMesh integrity, ready for filing or legal partnership submission.",,,
prod_SLywb0A36OLEXZ,VaultMesh IP Lock,service,5/21/2025 18:03,"Tamper-proof, AI-secured IP registration and chain-of-custody documentation platform. Includes instant VaultMesh certification.",,,
prod_SLyw0Hnep7Oo7O,CyberForce+ AI ThreatShield,service,5/21/2025 18:02,Real-time AI-driven cyber threat detection and autonomous defense response suite. Designed for military-grade network protection.,,,
prod_SLyf1tMy5sGyQm,Empire Access License,service,5/21/2025 17:45,"All-in-one platform access to Dynasec AI Solutions’ suite of leadership tools, AI systems for premium users, and elite growth resources.",,,
prod_SLyaFJWbgaNSJe,ResumeCore Elite Kit,service,5/21/2025 17:41,"Build compelling resumes with intelligent layouts, skills targeting, and experience enhancement. Secure job interviews and position advancement.",,,
prod_SLyVsuKIJYZxum,Proposal Builder Plan,service,5/21/2025 17:35,"Generate polished proposals with AI-powered tools for formatting, layouts, and content suggestions. Impress stakeholders with data-driven precision.",,,
prod_SLyP4J30DF9XPm,Genova Smart Policy Kit,service,5/21/2025 17:29,Design adaptive policies with AI-driven insights. Simplify governance compliance and strengthen your regulatory framework.,,,
prod_SLyLJGTthduyk1,Partner Grid License Tier 1,service,5/21/2025 17:25,"Unlock foundational collaboration licensing for joint projects. Enhance partner ecosystem with tools for agreements, training, and growth.",,,
prod_SLyBynn8svIgR2,CivIntel Insight Bundle,service,5/21/2025 17:16,Access critical data sources for geopolitical analysis and risk management. Uncover key patterns and trends with advanced AI modeling.,,,
prod_SLy7CVRWq7xQku,VaultMesh 5x Draft Pack,service,5/21/2025 17:11,Secure up to five patent ideas with our robust drafting and CIC Vault recordkeeping solution. Perfect for inventors and startup teams.,,,
prod_SLPoOEzJMHjxek,Affiliate Kit,service,5/20/2025 5:44,,,,
prod_SLPo0BxpqkEgcA,Global Investment Tier,service,5/20/2025 5:44,,,,
prod_SLPnZUu0AZqIPg,Press Kit SDponsorship,service,5/20/2025 5:43,,,,
prod_SLPmckvNU2wsc2,Partner License Access,service,5/20/2025 5:42,,,,
prod_SLPkjLwV4cn8Se,Empire Builder Kit,service,5/20/2025 5:40,,,,
prod_SKf4UxRuleypfk,LegalOps NDA Toolkit,service,5/18/2025 5:27,,,,
prod_SKf46Hj6eLf7Un,Proposal Builder Kit,service,5/18/2025 5:26,,,,
prod_SKf3vrc3KHU2cK,CivIntel Insight Bundle,service,5/18/2025 5:25,,,,
prod_SKf2tfJ2K5kfoH,Genova Smart Policy Kit,service,5/18/2025 5:24,,,,
prod_SKf0BG8ogFrtbj,VaultMesh 5x Draft Pack,service,5/18/2025 5:23,,,,
prod_SKezKMU3CxNxiG,Startup Launch Arsenal,service,5/18/2025 5:22,,,,
prod_SKeyk7Ks4V0Ygl,Empire Access License,service,5/18/2025 5:20,,,,
prod_SKeX1pNyWk9y6N,PartnerGrid License Tier 1,service,5/18/2025 4:53,,,,
prod_SKeWg9ZAEJ8xDD,VaultMesh Patent Draft Pack,service,5/18/2025 4:52,,,,
prod_SKeVrGcdotAnSV,ResumeCore Elite Kit,service,5/18/2025 4:52,,,,
prod_SKUZyeCVmUH9wl,Dynasec Test Transaction,service,5/17/2025 18:36,,,,
